flanker_window_cluster,nenad_cluster,nenad_cluster_parent,flanker_cluster,flanker_window,total_contigs,total_rep_types,all_rep_types
1500_1,cluster_a,,1,1500,83,3,IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIB (AA020 AH567)|IncFIB (AA020 AH567)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIB (AA020 AH567)|IncFIB (AA020 AH567)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)
1500_0,cluster_b,,0,1500,48,3,IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|Chromosome|Chromosome|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|Chromosome|Chromosome|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|Chromosome|Chromosome|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|Chromosome|Chromosome|Chromosome|Chromosome|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)
1500_2,cluster_c,,2,1500,17,1,IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)
1500_4,cluster_d,,4,1500,5,2,IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncC (AA860 AJ266)|IncC (AA860 AJ266)
3500_0,cluster_a,,0,3500,75,3,IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIB (AA020 AH567)|IncFIB (AA020 AH567)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIB (AA020 AH567)|IncFIB (AA020 AH567)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)
3500_4,cluster_b,,4,3500,48,3,IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|Chromosome|Chromosome|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|Chromosome|Chromosome|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|Chromosome|Chromosome|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|Chromosome|Chromosome|Chromosome|Chromosome|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)
3500_2,cluster_c,,2,3500,14,1,IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)
3500_1,cluster_e,cluster_a,1,3500,6,1,IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)
5000_2,cluster_f,cluster_b,2,5000,40,3,IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|Chromosome|IncHI2A (AA739 AJ058)|Chromosome|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|Chromosome|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|Chromosome|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ055)|IncHI2A (AA739 AJ058)
5000_1,cluster_g,cluster_a,1,5000,36,2,IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIB (AA020 AH567)|IncFIB (AA020 AH567)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)
5000_3,cluster_h,cluster_a,3,5000,25,2,IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)
5000_6,cluster_c,,6,5000,14,1,IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)|IncL/M (AA002 AH532)
5000_4,cluster_i,cluster_a,4,5000,7,1,IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)
5000_0,cluster_j,cluster_a,0,5000,6,2,IncC (AA860 AJ266)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)|IncFIA/IncFIB/IncP (AD444 AN003)
5000_12,cluster_e,,12,5000,6,1,IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)|IncC (AA860 AJ266)